keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
'Lusaka',de,Zambia,#1673c6,#1673c6,2,0.100057630836,AFRICA,4036697-2,909137,-15.406690000000,28.287130000000,P,Zambia,ESAF
'Lilongwe',de,Malawi,#1664c9,#1664c9,2,0.100056935453,AFRICA,4111306-8,927967,-13.966920000000,33.787250000000,P,Malawi,ESAF
'Malawi',de,Malawi,#1664c9,#1664c9,2,0.100056935453,AFRICA,4074495-4,927384,-13.500000000000,34.000000000000,A,Malawi,ESAF
'Kasachstan',de,Kazakhstan,#8b7bf0,#8b7bf0,2,0.100054715074,ASIA,1009150-6,1522867,48.000000000000,68.000000000000,A,Kazakhstan,WSB
'Nur-Sultan',de,Kazakhstan,#9781f1,#9781f1,2,0.100054715074,ASIA,4449241-8,1526273,51.180100000000,71.445980000000,P,Kazakhstan,WSB
'Santiago',de,Chile,#2ba111,#2ba111,2,0.100053392678,SOUTH-AMERICA,4122723-2,3871336,-33.456940000000,-70.648270000000,P,Chile,SWS
'Chile',de,Chile,#2ea812,#2ea812,2,0.100053392678,SOUTH-AMERICA,4009929-5,3895114,-30.000000000000,-71.000000000000,A,Chile,SWS
'Bamako',de,Mali,#33e8d0,#33e8d0,2,0.100052417248,AFRICA,4086612-9,2460596,12.609150000000,-7.975220000000,P,Mali,WAF
'Mali',de,Mali,#3ee9e3,#3ee9e3,2,0.100052417248,AFRICA,4074505-3,2453866,18.000000000000,-2.000000000000,A,Mali,SAH
'Bukarest',de,Romania,#74b9ef,#74b9ef,2,0.100051350687,EUROPE-AFRICA,4008858-3,683506,44.432250000000,26.106260000000,P,Romania,MED
'Rumänien',de,Romania,#77bdef,#77bdef,2,0.100051350687,EUROPE,4050939-4,798549,46.000000000000,25.000000000000,A,Romania,WCE
'Ouagadougou',de,Burkina Faso,#32e8e3,#32e8e3,2,0.100050628976,AFRICA,4044209-3,2357048,12.365660000000,-1.533880000000,P,Burkina Faso,WAF
'Burkina Faso',de,Burkina Faso,#32e8e3,#32e8e3,2,0.100050628976,AFRICA,15612-7,2361809,12.500000000000,-1.666670000000,A,Burkina Faso,WAF
'Sri Lanka',de,Sri Lanka,#6a29e7,#6a29e7,2,0.100046146747,INDIAN,4009696-8,1227603,7.750000000000,80.750000000000,A,Sri Lanka,BOB
'Colombo',de,Sri Lanka,#6627e7,#6627e7,2,0.100046146747,INDIAN,4010404-7,1248991,6.935480000000,79.848680000000,P,Sri Lanka,EIO
'Niamey',de,Niger,#35e2e8,#35e2e8,2,0.100044557426,AFRICA,4294467-3,2440485,13.513660000000,2.109800000000,P,Niger,WAF
'Niger',de,Niger,#3ecfe9,#3ecfe9,2,0.100044557426,AFRICA,4042298-7,2440476,18.000000000000,9.000000000000,A,Niger,SAH
'Taiwan',de,Taiwan,#ea4ae8,#ea4ae8,2,0.100042640583,ASIA,4017875-4,1668284,24.000000000000,121.000000000000,A,Taiwan,EAS
'Taipeh',de,Taiwan,#eb4ce7,#eb4ce7,2,0.100042640583,ASIA,4078134-3,1668341,25.053060000000,121.526390000000,P,Taiwan,EAS
'Canberra',de,Australia,#9d1159,#9d1159,2,0.100040012213,OCEANIA,4085133-3,2172517,-35.283460000000,149.128070000000,P,Australia,SAU
'Yamoussoukro',de,Ivory Coast,#27e7d6,#27e7d6,2,0.100039889539,AFRICA,4430797-4,2279755,6.820550000000,-5.276740000000,P,Ivory Coast,WAF
'Elfenbeinküste',de,Ivory Coast,#29e7d5,#29e7d5,2,0.100039889539,AFRICA,4014426-4,2287781,8.000000000000,-5.500000000000,A,Ivory Coast,WAF
'Yaoundé',de,Cameroon,#21c0e6,#21c0e6,2,0.100039656988,AFRICA,4119193-6,2220957,3.866670000000,11.516670000000,P,Cameroon,CAF
'Kamerun',de,Cameroon,#25bee6,#25bee6,2,0.100039656988,AFRICA,4029413-4,2233387,6.000000000000,12.500000000000,A,Cameroon,CAF
'Nordkorea',de,North Korea,#ee6bdf,#ee6bdf,2,0.100039139221,ASIA,4075468-6,1873107,40.000000000000,127.000000000000,A,North Korea,EAS
